MARK	EID	E-Mnemonic	Standardised epigenome name	Epigenome name (from EDACC Release 9 directory)	MARK CLASS	FNAME	NREADS	FRAGLEN	FCC	RLEN	RCC	MINLEN	MINCC	NSC (Signal to noise)	RSC (Phantom Peak)	SPOT	FindPeaks	Poisson	%of Impute Top 1% in Observed Top 1%	Correlation of Imputed with Observed
DNase	E003	ESC.H1	H1 Cell Line	H1_Cell_Line	Core	E003-DNase.tagAlign.gz	50000000	60	0.4589019119	45	0.4561468	1500	0.3409308	1.346026	1.023913	0.241	0.242	0.3	67.6	0.889
DNase	E004	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	Core	E004-DNase.tagAlign.gz	50000000	60	0.4964281948	45	0.4937082	1500	0.3360894	1.477072	1.017257	0.371	0.347	0.449	59.2	0.808
DNase	E005	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	Core	E005-DNase.tagAlign.gz	50000000	60	0.4675690816	40	0.4661283	1500	0.385778	1.212016	1.017931	0.188	0.169	0.255	49.6	0.643
DNase	E006	ESDR.H1.MSC	H1 Derived Mesenchymal Stem Cells	H1_Derived_Mesenchymal_Stem_Cells	Core	E006-DNase.tagAlign.gz	50000000	60	0.5701431785	45	0.56395	1500	0.2675982	2.130594	1.020898	0.536	0.503	0.568	65.6	0.846
DNase	E007	ESDR.H1.NEUR.PROG	H1 Derived Neuronal Progenitor Cultured Cells	H1_Derived_Neuronal_Progenitor_Cultured_Cells	Core	E007-DNase.tagAlign.gz	50000000	50	0.4678223528	45	0.4664008	1500	0.3674099	1.273298	1.01436	0.235	0.228	0.307	58.4	0.839
DNase	E008	ESC.H9	H9 Cell Line	H9_Cell_Line	Core	E008-DNase.tagAlign.gz	50000000	80	0.4185264139	35	0.4174166	1500	0.3639316	1.150014	1.02075	0.205	0.202	0.29	65.5	0.86
DNase	E017	LNG.IMR90	IMR90 fetal lung fibroblasts Cell Line	IMR90_Cell_Line	Core	E017-DNase.tagAlign.gz	50000000	50	0.5364923681	45	0.5351111	1500	0.2898586	1.850876	1.005632	0.439	0.385	0.45	70.6	0.87
DNase	E021	IPSC.DF.6.9	iPS DF 6.9 Cell Line	iPS_DF_6.9_Cell_Line	Core	E021-DNase.tagAlign.gz	26681306	50	0.3768744181	40	0.375971	1500	0.2876605	1.310136	1.01023	0.308	0.269	0.399	62	0.819
DNase	E022	IPSC.DF.19.11	iPS DF 19.11 Cell Line	iPS_DF_19.11_Cell_Line	Core	E022-DNase.tagAlign.gz	26661713	50	0.4012598427	45	0.400306	1500	0.2773508	1.446759	1.007757	0.342	0.288	0.4	54.8	0.768
DNase	E028	BRST.HMEC.35	Breast variant Human Mammary Epithelial Cells (vHMEC)	Breast_vHMEC	Core	E028-DNase.tagAlign.gz	50000000	80	0.5850688731	45	0.5746704	1500	0.3581744	1.633475	1.048031	0.474	0.386	0.523	75.3	0.887
DNase	E029	BLD.CD14.PC	Primary monocytes from peripheral blood	CD14_Primary_Cells	Core	E029-DNase.tagAlign.gz	47268789	60	0.5113461378	45	0.5074718	1500	0.2365997	2.161229	1.014303	0.39	0.398	0.401	69.7	0.844
DNase	E032	BLD.CD19.PPC	Primary B cells from peripheral blood	CD19_Primary_Cells_Peripheral_UW	Core	E032-DNase.tagAlign.gz	50000000	50	0.4739285007	40	0.4731105	1500	0.2945612	1.608931	1.004582	0.358	0.369	0.419	66.4	0.884
DNase	E033	BLD.CD3.CPC	Primary T cells from cord blood	CD3_Primary_Cells_Cord_BI	Core	E033-DNase.tagAlign.gz	42421955	55	0.4817306505	45	0.4776839	1500	0.2435528	1.977931	1.017284	0.378	0.382	0.404	64.2	0.888
DNase	E034	BLD.CD3.PPC	Primary T cells from peripheral blood	CD3_Primary_Cells_Peripheral_UW	Core	E034-DNase.tagAlign.gz	50000000	40	0.4970447575	45	0.4942424	1500	0.2698368	1.84202	1.012488	0.406	0.422	0.454	69.4	0.918
DNase	E046	BLD.CD56.PC	Primary Natural Killer cells from peripheral blood	CD56_Primary_Cells	Core	E046-DNase.tagAlign.gz	50000000	50	0.5012623544	40	0.5007859	1500	0.2582349	1.94111	1.001964	0.393	0.398	0.411	72.7	0.914
DNase	E050	BLD.MOB.CD34.PC.F	Primary hematopoietic stem cells G-CSF-mobilized Female	Mobilized_CD34_Primary_Cells_Female	Core	E050-DNase.tagAlign.gz	50000000	50	0.5221505033	45	0.5205326	1500	0.2193534	2.380408	1.005372	0.531	0.512	0.528	70.4	0.889
DNase	E051	BLD.MOB.CD34.PC.M	Primary hematopoietic stem cells G-CSF-mobilized Male	Mobilized_CD34_Primary_Cells_Male	Core	E051-DNase.tagAlign.gz	43764509	50	0.4807106595	45	0.4794249	1500	0.2415563	1.990056	1.005405	0.414	0.396	0.418	71.5	0.889
DNase	E055	SKIN.PEN.FRSK.FIB.01	Foreskin Fibroblast Primary Cells skin01	Penis_Foreskin_Fibroblast_Primary_Cells_skin01	Core	E055-DNase.tagAlign.gz	50000000	50	0.5855482206	45	0.5825114	1500	0.1952023	2.999699	1.007841	0.663	0.657	0.692	79.9	0.929
DNase	E056	SKIN.PEN.FRSK.FIB.02	Foreskin Fibroblast Primary Cells skin02	Penis_Foreskin_Fibroblast_Primary_Cells_skin02	Core	E056-DNase.tagAlign.gz	50000000	55	0.6170564138	45	0.6057488	1500	0.181227	3.404881	1.026636	0.744	0.719	0.749	80.6	0.938
DNase	E057	SKIN.PEN.FRSK.KER.02	Foreskin Keratinocyte Primary Cells skin02	Penis_Foreskin_Keratinocyte_Primary_Cells_skin02	Core	E057-DNase.tagAlign.gz	50000000	80	0.5347450815	45	0.522732	1500	0.2843407	1.880649	1.050392	0.504	0.471	0.556	61.7	0.759
